label,human_logic_steps,found_logic_steps,base_size,base_mode,budget,max_depth,outcome,expansions,seconds,cv_verdict,proof_steps
th001,3,3,4,axioms,1000,6,proved,6,0.001,ok,23
th002,3,3,4,axioms,1000,6,proved,8,0.002,ok,20
th003,3,3,4,axioms,1000,6,proved,6,0.001,ok,35
th004,3,3,4,axioms,1000,6,proved,6,0.003,ok,48
th005,3,3,4,axioms,1000,6,proved,8,0.002,ok,36
th006,5,5,4,axioms,1000,6,proved,36,0.008,ok,40
th007,5,5,4,axioms,1000,6,proved,25,0.006,ok,49
th008,5,5,4,axioms,1000,6,proved,27,0.006,ok,46
th009,5,5,4,axioms,1000,6,proved,36,0.009,ok,46
th010,5,5,4,axioms,1000,6,proved,39,0.01,ok,45
th011,5,5,4,axioms,1000,6,proved,53,0.016,ok,108
th012,5,5,4,axioms,1000,6,proved,53,0.015,ok,108
th013,5,5,4,axioms,1000,6,proved,25,0.007,ok,73
th014,5,5,4,axioms,1000,6,proved,36,0.012,ok,70
th015,7,,4,axioms,1000,6,exhausted,126,0.016,,
th015,7,,4,axioms,5000,6,exhausted,126,0.016,,
th015,7,,4,axioms,20000,6,exhausted,126,0.016,,
th015,7,7,4,axioms,1000,12,proved,139,0.044,ok,54
th016,7,,4,axioms,1000,6,exhausted,125,0.016,,
th016,7,,4,axioms,5000,6,exhausted,125,0.015,,
th016,7,,4,axioms,20000,6,exhausted,125,0.016,,
th016,7,7,4,axioms,1000,12,proved,197,0.051,ok,96
th017,7,5,4,axioms,1000,6,proved,53,0.011,ok,74
th018,7,,4,axioms,1000,6,exhausted,127,0.017,,
th018,7,,4,axioms,5000,6,exhausted,127,0.016,,
th018,7,,4,axioms,20000,6,exhausted,127,0.013,,
th018,7,7,4,axioms,1000,12,proved,202,0.047,ok,88
th019,7,,4,axioms,1000,6,exhausted,126,0.015,,
th019,7,,4,axioms,5000,6,exhausted,126,0.014,,
th019,7,,4,axioms,20000,6,exhausted,126,0.013,,
th019,7,7,4,axioms,1000,12,proved,181,0.047,ok,134
th020,7,,4,axioms,1000,6,exhausted,127,0.014,,
th020,7,,4,axioms,5000,6,exhausted,127,0.013,,
th020,7,,4,axioms,20000,6,exhausted,127,0.012,,
th020,7,7,4,axioms,1000,12,proved,183,0.07,ok,143
th021,7,,4,axioms,1000,6,exhausted,127,0.016,,
th021,7,,4,axioms,5000,6,exhausted,127,0.019,,
th021,7,,4,axioms,20000,6,exhausted,127,0.022,,
th021,7,7,4,axioms,1000,12,proved,128,0.068,ok,81
th022,7,,4,axioms,1000,6,exhausted,128,0.017,,
th022,7,,4,axioms,5000,6,exhausted,128,0.018,,
th022,7,,4,axioms,20000,6,exhausted,128,0.028,,
th022,7,7,4,axioms,1000,12,proved,130,0.057,ok,78
th023,7,,4,axioms,1000,6,exhausted,132,0.014,,
th023,7,,4,axioms,5000,6,exhausted,132,0.019,,
th023,7,,4,axioms,20000,6,exhausted,132,0.018,,
th023,7,7,4,axioms,1000,12,proved,139,0.035,ok,78
th024,7,5,4,axioms,1000,6,proved,30,0.011,ok,53
th025,7,,4,axioms,1000,6,exhausted,161,0.019,,
th025,7,,4,axioms,5000,6,exhausted,161,0.018,,
th025,7,,4,axioms,20000,6,exhausted,161,0.02,,
th025,7,7,4,axioms,1000,12,proved,195,0.057,ok,75
th026,7,,4,axioms,1000,6,exhausted,160,0.021,,
th026,7,,4,axioms,5000,6,exhausted,160,0.025,,
th026,7,,4,axioms,20000,6,exhausted,160,0.022,,
th026,7,7,4,axioms,1000,12,proved,211,0.054,ok,99
th027,7,,4,axioms,1000,6,exhausted,132,0.013,,
th027,7,,4,axioms,5000,6,exhausted,132,0.013,,
th027,7,,4,axioms,20000,6,exhausted,132,0.013,,
th027,7,7,4,axioms,1000,12,proved,213,0.063,ok,120
th028,7,,4,axioms,1000,6,exhausted,130,0.017,,
th028,7,,4,axioms,5000,6,exhausted,130,0.018,,
th028,7,,4,axioms,20000,6,exhausted,130,0.017,,
th028,7,7,4,axioms,1000,12,proved,208,0.068,ok,136
th029,7,,4,axioms,1000,6,exhausted,134,0.029,,
th029,7,,4,axioms,5000,6,exhausted,134,0.023,,
th029,7,,4,axioms,20000,6,exhausted,134,0.019,,
th029,7,7,4,axioms,1000,12,proved,142,0.038,ok,83
th030,7,,4,axioms,1000,6,exhausted,133,0.013,,
th030,7,,4,axioms,5000,6,exhausted,133,0.014,,
th030,7,,4,axioms,20000,6,exhausted,133,0.016,,
th030,7,7,4,axioms,1000,12,proved,156,0.053,ok,146
th031,7,,4,axioms,1000,6,exhausted,133,0.018,,
th031,7,,4,axioms,5000,6,exhausted,133,0.015,,
th031,7,,4,axioms,20000,6,exhausted,133,0.014,,
th031,7,7,4,axioms,1000,12,proved,156,0.036,ok,146
th032,7,,4,axioms,1000,6,exhausted,161,0.015,,
th032,7,,4,axioms,5000,6,exhausted,161,0.018,,
th032,7,,4,axioms,20000,6,exhausted,161,0.02,,
th032,7,7,4,axioms,1000,12,proved,200,0.055,ok,77
th033,7,5,4,axioms,1000,6,proved,53,0.015,ok,142
th034,7,,4,axioms,1000,6,exhausted,126,0.02,,
th034,7,,4,axioms,5000,6,exhausted,126,0.022,,
th034,7,,4,axioms,20000,6,exhausted,126,0.029,,
th034,7,7,4,axioms,1000,12,proved,181,0.061,ok,198
th035,7,,4,axioms,1000,6,exhausted,127,0.014,,
th035,7,,4,axioms,5000,6,exhausted,127,0.017,,
th035,7,,4,axioms,20000,6,exhausted,127,0.018,,
th035,7,7,4,axioms,1000,12,proved,128,0.049,ok,117
th036,7,,4,axioms,1000,6,exhausted,132,0.017,,
th036,7,,4,axioms,5000,6,exhausted,132,0.016,,
th036,7,,4,axioms,20000,6,exhausted,132,0.022,,
th036,7,7,4,axioms,1000,12,proved,139,0.071,ok,114
th037,7,5,4,axioms,1000,6,proved,30,0.019,ok,77
th038,7,,4,axioms,1000,6,exhausted,133,0.019,,
th038,7,,4,axioms,5000,6,exhausted,133,0.016,,
th038,7,,4,axioms,20000,6,exhausted,133,0.015,,
th038,7,7,4,axioms,1000,12,proved,215,0.078,ok,181
th039,9,,4,axioms,1000,6,exhausted,127,0.014,,
th039,9,,4,axioms,5000,6,exhausted,127,0.013,,
th039,9,,4,axioms,20000,6,exhausted,127,0.013,,
th039,9,9,4,axioms,1000,12,proved,708,0.217,ok,74
th040,9,,4,axioms,1000,6,exhausted,127,0.013,,
th040,9,,4,axioms,5000,6,exhausted,127,0.031,,
th040,9,,4,axioms,20000,6,exhausted,127,0.024,,
th040,9,7,4,axioms,1000,12,proved,140,0.047,ok,60
th041,9,,4,axioms,1000,6,exhausted,127,0.016,,
th041,9,,4,axioms,5000,6,exhausted,127,0.019,,
th041,9,,4,axioms,20000,6,exhausted,127,0.017,,
th041,9,9,4,axioms,1000,12,proved,766,0.267,ok,119
th042,9,,4,axioms,1000,6,exhausted,133,0.024,,
th042,9,,4,axioms,5000,6,exhausted,133,0.017,,
th042,9,,4,axioms,20000,6,exhausted,133,0.016,,
th042,9,7,4,axioms,1000,12,proved,156,0.055,ok,100
th043,9,,4,axioms,1000,6,exhausted,128,0.019,,
th043,9,,4,axioms,5000,6,exhausted,128,0.019,,
th043,9,,4,axioms,20000,6,exhausted,128,0.018,,
th043,9,9,4,axioms,1000,12,proved,721,0.254,ok,78
th044,9,,4,axioms,1000,6,exhausted,127,0.018,,
th044,9,,4,axioms,5000,6,exhausted,127,0.017,,
th044,9,,4,axioms,20000,6,exhausted,127,0.016,,
th044,9,9,4,axioms,1000,12,proved,771,0.264,ok,114
th045,9,3,4,axioms,1000,6,proved,7,0.002,ok,27
th046,9,,4,axioms,1000,6,exhausted,154,0.03,,
th046,9,,4,axioms,5000,6,exhausted,154,0.025,,
th046,9,,4,axioms,20000,6,exhausted,154,0.023,,
th046,9,,4,axioms,1000,12,budget,1001,0.461,,
th046,9,9,4,axioms,5000,12,proved,1066,0.395,ok,117
th047,9,,4,axioms,1000,6,exhausted,131,0.024,,
th047,9,,4,axioms,5000,6,exhausted,131,0.021,,
th047,9,,4,axioms,20000,6,exhausted,131,0.019,,
th047,9,7,4,axioms,1000,12,proved,144,0.041,ok,62
th048,9,3,4,axioms,1000,6,proved,6,0.001,ok,31
th049,9,3,4,axioms,1000,6,proved,6,0.001,ok,31
th050,9,,4,axioms,1000,6,exhausted,126,0.015,,
th050,9,,4,axioms,5000,6,exhausted,126,0.016,,
th050,9,,4,axioms,20000,6,exhausted,126,0.018,,
th050,9,9,4,axioms,1000,12,proved,750,0.257,ok,172
th051,9,,4,axioms,1000,6,exhausted,126,0.018,,
th051,9,,4,axioms,5000,6,exhausted,126,0.019,,
th051,9,,4,axioms,20000,6,exhausted,126,0.019,,
th051,9,9,4,axioms,1000,12,proved,752,0.253,ok,181
th052,9,,4,axioms,1000,6,exhausted,126,0.026,,
th052,9,,4,axioms,5000,6,exhausted,126,0.02,,
th052,9,,4,axioms,20000,6,exhausted,126,0.029,,
th052,9,9,4,axioms,1000,12,proved,970,0.351,ok,186
th053,9,,4,axioms,1000,6,exhausted,126,0.018,,
th053,9,,4,axioms,5000,6,exhausted,126,0.019,,
th053,9,,4,axioms,20000,6,exhausted,126,0.02,,
th053,9,9,4,axioms,1000,12,proved,972,0.346,ok,183
th054,9,3,4,axioms,1000,6,proved,6,0.001,ok,35
th055,9,,4,axioms,1000,6,exhausted,127,0.013,,
th055,9,,4,axioms,5000,6,exhausted,127,0.013,,
th055,9,,4,axioms,20000,6,exhausted,127,0.013,,
th055,9,9,4,axioms,1000,12,proved,699,0.224,ok,116
th056,9,,4,axioms,1000,6,exhausted,128,0.018,,
th056,9,,4,axioms,5000,6,exhausted,128,0.016,,
th056,9,,4,axioms,20000,6,exhausted,128,0.031,,
th056,9,9,4,axioms,1000,12,proved,708,0.245,ok,116
th057,9,,4,axioms,1000,6,exhausted,132,0.012,,
th057,9,,4,axioms,5000,6,exhausted,132,0.014,,
th057,9,,4,axioms,20000,6,exhausted,132,0.018,,
th057,9,7,4,axioms,1000,12,proved,133,0.061,ok,91
th058,9,,4,axioms,1000,6,exhausted,132,0.018,,
th058,9,,4,axioms,5000,6,exhausted,132,0.018,,
th058,9,,4,axioms,20000,6,exhausted,132,0.015,,
th058,9,9,4,axioms,1000,12,proved,770,0.24,ok,113
th059,9,,4,axioms,1000,6,exhausted,133,0.018,,
th059,9,,4,axioms,5000,6,exhausted,133,0.016,,
th059,9,,4,axioms,20000,6,exhausted,133,0.014,,
th059,9,9,4,axioms,1000,12,proved,786,0.285,ok,137
th060,9,,4,axioms,1000,6,exhausted,127,0.02,,
th060,9,,4,axioms,5000,6,exhausted,127,0.018,,
th060,9,,4,axioms,20000,6,exhausted,127,0.019,,
th060,9,9,4,axioms,1000,12,proved,782,0.277,ok,158
