label,human_logic_steps,found_logic_steps,base_size,base_mode,budget,max_depth,outcome,expansions,seconds,cv_verdict,proof_steps
th001,3,3,4,prefix,1000,6,proved,6,0.002,ok,23
th002,3,3,5,prefix,1000,6,proved,8,0.003,ok,20
th003,3,3,6,prefix,1000,6,proved,6,0.004,ok,35
th004,3,3,7,prefix,1000,6,proved,6,0.004,ok,48
th005,3,3,8,prefix,1000,6,proved,8,0.004,ok,36
th006,5,3,9,prefix,1000,6,proved,9,0.005,ok,17
th007,5,3,10,prefix,1000,6,proved,7,0.003,ok,30
th008,5,3,11,prefix,1000,6,proved,7,0.003,ok,29
th009,5,3,12,prefix,1000,6,proved,9,0.005,ok,27
th010,5,1,13,prefix,1000,6,proved,2,0.001,ok,6
th011,5,1,14,prefix,1000,6,proved,2,0.001,ok,6
th012,5,1,15,prefix,1000,6,proved,2,0.001,ok,6
th013,5,3,16,prefix,1000,6,proved,9,0.005,ok,42
th014,5,3,17,prefix,1000,6,proved,11,0.01,ok,39
th015,7,3,18,prefix,1000,6,proved,10,0.006,ok,16
th016,7,3,19,prefix,1000,6,proved,14,0.015,ok,25
th017,7,1,20,prefix,1000,6,proved,2,0.001,ok,4
th018,7,3,21,prefix,1000,6,proved,15,0.011,ok,22
th019,7,3,22,prefix,1000,6,proved,12,0.009,ok,46
th020,7,3,23,prefix,1000,6,proved,13,0.039,ok,43
th021,7,3,24,prefix,1000,6,proved,15,0.055,ok,37
th022,7,3,25,prefix,1000,6,proved,15,0.026,ok,36
th023,7,3,26,prefix,1000,6,proved,15,0.015,ok,36
th024,7,1,27,prefix,1000,6,proved,2,0.002,ok,7
th025,7,3,28,prefix,1000,6,proved,16,0.019,ok,31
th026,7,3,29,prefix,1000,6,proved,17,0.02,ok,29
th027,7,3,30,prefix,1000,6,proved,18,0.018,ok,34
th028,7,3,31,prefix,1000,6,proved,20,0.02,ok,40
th029,7,1,32,prefix,1000,6,proved,2,0.001,ok,7
th030,7,1,33,prefix,1000,6,proved,2,0.001,ok,7
th031,7,1,34,prefix,1000,6,proved,2,0.001,ok,7
th032,7,3,35,prefix,1000,6,proved,19,0.019,ok,35
th033,7,1,36,prefix,1000,6,proved,2,0.002,ok,8
th034,7,3,37,prefix,1000,6,proved,15,0.02,ok,66
th035,7,3,38,prefix,1000,6,proved,18,0.015,ok,49
th036,7,3,39,prefix,1000,6,proved,18,0.019,ok,48
th037,7,1,40,prefix,1000,6,proved,2,0.003,ok,7
th038,7,3,41,prefix,1000,6,proved,21,0.033,ok,47
th039,9,3,42,prefix,1000,6,proved,18,0.02,ok,23
th040,9,1,43,prefix,1000,6,proved,2,0.001,ok,6
th041,9,3,44,prefix,1000,6,proved,18,0.018,ok,26
th042,9,1,45,prefix,1000,6,proved,2,0.003,ok,5
th043,9,1,46,prefix,1000,6,proved,2,0.004,ok,6
th044,9,3,47,prefix,1000,6,proved,18,0.103,ok,30
th045,9,1,48,prefix,1000,6,proved,2,0.015,ok,6
th046,9,3,49,prefix,1000,6,proved,20,0.045,ok,24
th047,9,1,50,prefix,1000,6,proved,2,0.002,ok,7
th048,9,1,51,prefix,1000,6,proved,2,0.002,ok,8
th049,9,1,52,prefix,1000,6,proved,2,0.002,ok,8
th050,9,3,53,prefix,1000,6,proved,18,0.036,ok,42
th051,9,3,54,prefix,1000,6,proved,18,0.095,ok,40
th052,9,3,55,prefix,1000,6,proved,16,0.068,ok,57
th053,9,3,56,prefix,1000,6,proved,17,0.123,ok,56
th054,9,1,57,prefix,1000,6,proved,2,0.016,ok,10
th055,9,3,58,prefix,1000,6,proved,20,0.057,ok,43
th056,9,3,59,prefix,1000,6,proved,20,0.046,ok,43
th057,9,1,60,prefix,1000,6,proved,2,0.004,ok,8
th058,9,3,61,prefix,1000,6,proved,21,0.041,ok,42
th059,9,3,62,prefix,1000,6,proved,21,0.043,ok,41
th060,9,3,63,prefix,1000,6,proved,20,0.04,ok,42
