target,dag_nodes,direct_parents,distractors,auc,spearman_distance,mae_distance,compass_rank_first_dag,baseline_rank_first_dag,compass_rank_first_direct_parent,baseline_rank_first_direct_parent,precision_at_10
naddov,2384,2,6905,0.741611335178611,0.18059042970945924,4.532590085553567,13,14,2729,3137,0.0
fiuni,2244,8,7045,0.8110432045189403,0.30965018727758375,2.817971072927078,1,7,813,65,1.0
el2xptp0,1192,28,5955,0.8452875294064567,0.4094895290521004,2.8145636304209414,10,4,66,87,0.1
naddss1,2444,10,6845,0.7618939579909146,0.23617521823565646,3.2983274838535896,1,2,606,309,0.9
f1opwfi,2252,38,7037,0.7879432676945816,0.35706082433701203,2.9033480421014177,3,2,71,22,0.1
recsval,2031,2,7258,0.790587250759142,0.1639604953657076,3.014903370661997,3,9,1757,7267,0.3
ordfin,2483,10,6807,0.7879682442837734,0.20363027366954328,4.16094367375702,1,4,289,2802,1.0
inficl,2231,19,7058,0.8180587940790401,0.3247348976572215,3.3786230274889126,1,3,66,595,0.9
oelim,2270,15,7019,0.7698072680769336,0.2561979737865268,3.194260407619243,3,2,353,1511,0.1
oesuc,2318,3,6971,0.7793347827893189,0.19015203015191048,4.507628647284906,1,1,6098,1076,0.5
oaword2,2342,10,6947,0.7785167762236158,0.21295847832381087,3.3645871182365537,1,9,708,747,1.0
nnmcl,2265,14,7024,0.7785582571013466,0.29908957743832265,2.671428384803752,1,4,606,164,0.5
releldmdifi,1222,22,6105,0.8677392156507635,0.3706729627001346,3.079980132500843,1,6,59,153,0.6
odi,2511,124,6778,0.7597390902603808,0.2472742960337584,5.0015596951368835,3,6,83,24,0.1
om1,2321,9,6968,0.7866690152519894,0.159670349614185,3.373073647219799,1,2,2496,1598,1.0
wfi,968,9,4835,0.866634619806243,0.40917744990936966,2.9738606323569705,1,4,236,166,0.9
oeworde,2447,41,6842,0.7578987031903138,0.22016349342169855,4.131064755041013,1,2,701,501,0.3
omordi,2366,57,6923,0.7748758237318447,0.22238798281309366,3.7721709294411365,1,10,140,221,0.6
unifi2,2858,11,6432,0.7288889164607484,0.20785449324553026,3.3131841778509075,2,6,957,761,0.2
oen0,2418,46,6871,0.7627115745591659,0.23508172295406007,4.119297294814915,1,1,443,120,0.5
f1finf1o,2480,30,6810,0.7795456578282536,0.3350497020668213,2.6775580102388536,1,1,620,542,0.9
naddoa,2705,20,6585,0.7428606288723251,0.18310228239068727,3.878537454032483,1,2,250,608,0.8
fiss,2233,11,7056,0.7945536133360155,0.34278672676945654,2.595559279864148,1,2,587,59,0.7
dftpos4,1384,54,6915,0.819526018082396,0.3101274781069138,3.75174989631508,14,2,26,92,0.0
imafi2,2282,6,7007,0.7846101415337966,0.2851734777289858,2.6799587628594277,1,9,1526,455,0.9
naddword2,2466,3,6823,0.7629311311014322,0.2636178575741048,3.0542552963701266,1,3,3399,2994,1.0
nnawordi,2264,27,7025,0.7837896660339705,0.340952218491526,2.716897602840558,6,7,82,324,0.4
rdgsucg,2129,11,7160,0.7923779311231991,0.19475816437366553,3.814013599281422,3,8,1240,263,0.2
naddssim,2431,42,6858,0.7615329848172271,0.28879504773566184,3.282231398469818,1,5,112,838,0.8
onfin,2482,12,6808,0.7832897826063276,0.2607330169511569,4.0176509002741545,1,4,71,97,1.0
oa0,2187,5,7102,0.8054307924033615,0.23235975660079272,2.5793820379753285,1,12,1782,1897,1.0
naddass,2574,22,6715,0.7469843633655995,0.2522833551372114,4.362934683604374,3,5,176,291,0.6
wfr3g,1508,38,7535,0.8050686268768309,0.36413978618194925,2.704104437062064,2,25,156,103,0.4
fnsuppeq0,1676,18,7613,0.8006524581871934,0.3464344217736152,3.276134943204432,9,19,169,275,0.1
oecl,2382,35,6907,0.7706384036500535,0.21171150804985467,4.2467409903280995,1,4,933,154,1.0
oalim,2252,13,7037,0.7740772941803391,0.2355432701325781,3.097336372490043,3,7,776,738,0.1
unxpwdom,1962,28,7327,0.7740617209601144,0.2914762948663921,3.7185892906768494,3,6,320,1144,0.2
oe0,2212,12,7077,0.7968050226343331,0.21274363781396274,3.35618676336469,1,1,1341,867,1.0
isores3,823,19,4110,0.8329742897567501,0.4715522464999672,2.7946610620755545,5,2,244,295,0.2
f1imacnv,1002,16,5005,0.8681442433690185,0.37191809603045284,3.477223796385752,1,2,842,429,0.9
omxpen,2726,11,6563,0.729409240292046,0.22436097309042644,4.548669772331555,3,1,913,984,0.1
nnsdomo,2473,7,6817,0.766957979836246,0.2610563633675722,3.10111233718763,1,6,620,2168,0.4
oaabs2,2663,105,6626,0.7285132017553508,0.21636976511872733,4.481206348098982,4,4,102,16,0.1
nnaword1,2282,9,7007,0.7831768657221153,0.34379687540467474,2.8300815527062984,1,4,580,248,0.8
nnm2,2291,8,6998,0.7877314603923018,0.26149437181533,2.5292391868287827,1,3,1368,1134,1.0
nnesuc,2271,3,7018,0.7824314255476478,0.2370137346933046,2.877059124716269,1,3,822,24,0.4
tz6.26,944,9,4715,0.8611214631672344,0.4342401998670439,3.074616716567649,1,12,411,186,1.0
rdgsuc,2187,5,7102,0.784033265889304,0.18794894966693204,3.759503881976761,6,3,455,2444,0.1
unbnn2,2406,12,6883,0.7695955535996216,0.2581244595003495,2.589006204286971,2,2,231,1103,0.2
