training_dags,target,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
10,naddov,0.7387671569636929,0.18059042970945924,4.532590085553567,13,2,2723,3021,0.0
10,fiuni,0.8127870251128799,0.30965018727758375,2.817971072927078,1,2,981,22,0.9
10,el2xptp0,0.8395828354415744,0.4094895290521004,2.8145636304209414,6,5,54,512,0.2
10,naddss1,0.7654078815496029,0.23617521823565646,3.2983274838535896,1,1,577,1577,1.0
10,f1opwfi,0.7851000890400641,0.35706082433701203,2.9033480421014177,3,11,77,84,0.1
10,recsval,0.7935714627330678,0.1639604953657076,3.014903370661997,1,1,1752,6453,0.7
10,ordfin,0.7918896528377095,0.20363027366954328,4.16094367375702,1,13,255,1096,1.0
10,inficl,0.8169911977124287,0.3247348976572215,3.3786230274889126,1,1,54,1191,0.9
10,oelim,0.773391167424776,0.2561979737865268,3.194260407619243,3,4,351,746,0.2
10,oesuc,0.7828411256308341,0.19015203015191048,4.507628647284906,1,7,6144,932,0.8
10,oaword2,0.7848636716895248,0.21295847832381087,3.3645871182365537,1,3,692,870,1.0
10,nnmcl,0.7825754997787088,0.29908957743832265,2.671428384803752,1,2,547,65,0.8
10,releldmdifi,0.865982422002078,0.3706729627001346,3.079980132500843,1,2,46,334,1.0
10,odi,0.7620279753776936,0.2472742960337584,5.0015596951368835,3,1,84,61,0.2
10,om1,0.7871301905914461,0.159670349614185,3.373073647219799,1,4,2518,524,1.0
10,wfi,0.8615426980747287,0.40917744990936966,2.9738606323569705,1,7,240,98,1.0
10,oeworde,0.7619016607359673,0.22016349342169855,4.131064755041013,1,1,700,216,0.5
10,omordi,0.7765131615140235,0.22238798281309366,3.7721709294411365,1,1,143,159,0.8
10,unifi2,0.7266339746118081,0.20785449324553026,3.3131841778509075,2,2,947,756,0.1
10,oen0,0.7689659094102178,0.23508172295406007,4.119297294814915,1,3,390,538,0.8
10,f1finf1o,0.785323902084818,0.3350497020668213,2.6775580102388536,1,1,662,277,1.0
10,naddoa,0.7495716312399983,0.18310228239068727,3.878537454032483,1,1,182,391,1.0
10,fiss,0.7926856314237901,0.34278672676945654,2.595559279864148,4,6,553,296,0.4
10,dftpos4,0.8162943374484822,0.3101274781069138,3.75174989631508,2,5,29,71,0.2
10,imafi2,0.7900280083528003,0.2851734777289858,2.6799587628594277,1,13,1490,1830,0.9
10,naddword2,0.7689224235191171,0.2636178575741048,3.0542552963701266,1,25,3360,216,1.0
10,nnawordi,0.7851193248959683,0.340952218491526,2.716897602840558,3,2,76,133,0.5
10,rdgsucg,0.7884370678700405,0.19475816437366553,3.814013599281422,4,1,1286,1048,0.1
10,naddssim,0.7645447360932115,0.28879504773566184,3.282231398469818,1,5,113,5,1.0
10,onfin,0.789195936454331,0.2607330169511569,4.0176509002741545,1,3,37,255,1.0
10,oa0,0.8052910549412181,0.23235975660079272,2.5793820379753285,1,1,1880,3716,1.0
10,naddass,0.7480176157548898,0.2522833551372114,4.362934683604374,1,14,184,807,0.7
10,wfr3g,0.799322251523415,0.36413978618194925,2.704104437062064,3,12,153,25,0.3
10,fnsuppeq0,0.7973820520661727,0.3464344217736152,3.276134943204432,9,3,176,160,0.1
10,oecl,0.7754899912196921,0.21171150804985467,4.2467409903280995,1,2,796,159,1.0
10,oalim,0.7749471960094174,0.2355432701325781,3.097336372490043,3,2,763,233,0.2
10,unxpwdom,0.7707789881813372,0.2914762948663921,3.7185892906768494,2,3,315,578,0.2
10,oe0,0.7937613115246076,0.21274363781396274,3.35618676336469,1,1,1233,64,1.0
10,isores3,0.8161285452963218,0.4715522464999672,2.7946610620755545,8,4,222,261,0.1
10,f1imacnv,0.870020489001508,0.37191809603045284,3.477223796385752,1,8,864,238,1.0
10,omxpen,0.7394896876907799,0.22436097309042644,4.548669772331555,1,1,948,564,0.3
10,nnsdomo,0.770333063446963,0.2610563633675722,3.10111233718763,1,2,613,504,0.4
10,oaabs2,0.7324612564477595,0.21636976511872733,4.481206348098982,4,1,104,24,0.1
10,nnaword1,0.7886660577334446,0.34379687540467474,2.8300815527062984,1,9,582,650,1.0
10,nnm2,0.7884328784779976,0.26149437181533,2.5292391868287827,1,5,1368,610,1.0
10,nnesuc,0.7859000187687569,0.2370137346933046,2.877059124716269,1,3,773,4316,0.8
10,tz6.26,0.8690384807854716,0.4342401998670439,3.074616716567649,1,1,410,112,1.0
10,rdgsuc,0.7797712457925994,0.18794894966693204,3.759503881976761,6,1,484,1210,0.1
10,unbnn2,0.7644081595661467,0.2581244595003495,2.589006204286971,2,3,252,565,0.1
20,naddov,0.7549401937691249,0.20888279214085453,3.3241939024120364,14,6,2080,3014,0.0
20,fiuni,0.8422795128100523,0.37018416893437844,2.2263699524110647,1,2,633,254,0.9
20,el2xptp0,0.8554030684936914,0.4119197642142843,2.5226712115897434,32,1,49,513,0.0
20,naddss1,0.7779664935319153,0.26188702369706274,2.5239265765619936,1,1,333,1544,0.5
20,f1opwfi,0.8360983956220552,0.40842292413546,2.2025759701128695,4,9,27,226,0.3
20,recsval,0.8153110807005018,0.2265726142340495,2.266656706420222,8,1,365,6427,0.1
20,ordfin,0.8188223007280845,0.3358720568971738,2.5421274815288233,1,2,213,1084,1.0
20,inficl,0.8462289646147109,0.3762642054293858,2.7473608113776398,1,3,86,1176,1.0
20,oelim,0.7939650722762585,0.24456586196570865,2.766695805050549,15,1,1149,736,0.0
20,oesuc,0.8063601074202605,0.27726354186157093,3.152887078460833,10,4,2645,912,0.1
20,oaword2,0.8024312951016432,0.2419650566413221,2.694065368525337,1,1,517,815,0.9
20,nnmcl,0.8120450929215584,0.36795090045959666,3.0385483661306467,1,1,298,51,1.0
20,releldmdifi,0.8663216265181867,0.38100444726557237,2.9803395759007105,1,7,42,315,0.8
20,odi,0.7839217868496297,0.2585114409618355,3.820680682360059,13,2,71,7,0.0
20,om1,0.8087007958901856,0.2520228095220288,2.44984100059938,1,13,468,314,0.9
20,wfi,0.8595061004888306,0.3877256169537635,2.98232175518594,1,8,120,76,0.8
20,oeworde,0.7891938059796819,0.23207878188917747,3.4392896422247334,17,4,1446,483,0.0
20,omordi,0.7998174102341333,0.2432561675812929,3.003933020135734,1,4,79,244,0.6
20,unifi2,0.772544199310279,0.30264979372835044,2.2839477888004565,14,9,914,709,0.0
20,oen0,0.7965043093715001,0.28081762909860114,2.9579868468520525,1,1,253,1,0.6
20,f1finf1o,0.8225407168924008,0.4049900400643515,2.168145874068446,1,2,65,402,1.0
20,naddoa,0.7641555018084738,0.2511370871533121,2.384378067313535,1,2,21,399,0.3
20,fiss,0.8368925762634127,0.36978762031992385,2.142324855653585,1,5,584,178,1.0
20,dftpos4,0.8367151690630312,0.34096698108129286,2.8664439232463215,31,1,51,145,0.0
