shell,target,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
10,el2xptp0,0.8408454536930703,0.4094895290521004,2.8145636304209414,10,11,64,251,0.1
10,f1finf1o,0.7839946593973814,0.3350497020668213,2.6775580102388536,1,6,484,358,1.0
10,f1opwfi,0.7871507946794145,0.35706082433701203,2.9033480421014177,3,3,93,696,0.1
10,fnsuppeq0,0.8001980116493586,0.3464344217736152,3.276134943204432,9,9,163,224,0.1
10,isores3,0.8218144872455173,0.4715522464999672,2.7946610620755545,6,16,238,31,0.2
10,naddoa,0.7440642789107393,0.18310228239068727,3.878537454032483,1,6,274,352,0.7
10,naddss1,0.7631189663405259,0.23617521823565646,3.2983274838535896,1,4,651,1952,0.7
10,naddssim,0.7615719888580457,0.28879504773566184,3.282231398469818,1,4,101,42,0.7
10,nnaword1,0.7876165295217089,0.34379687540467474,2.8300815527062984,1,16,535,1570,0.8
10,nnsdomo,0.7683244356745677,0.2610563633675722,3.10111233718763,1,3,620,524,0.2
10,oa0,0.8104176613007741,0.23235975660079272,2.5793820379753285,1,4,1594,29,1.0
10,oalim,0.7732951113827672,0.2355432701325781,3.097336372490043,3,5,789,225,0.1
10,oaword2,0.7833087795327373,0.21295847832381087,3.3645871182365537,1,1,818,12,1.0
10,oelim,0.7714386142354528,0.2561979737865268,3.194260407619243,3,1,349,346,0.1
10,oesuc,0.7801008890212718,0.19015203015191048,4.507628647284906,2,7,6082,5472,0.2
10,onfin,0.7886484284084305,0.2607330169511569,4.0176509002741545,1,9,84,1845,1.0
10,rdgsuc,0.7863063134671032,0.18794894966693204,3.759503881976761,6,2,448,3183,0.1
10,releldmdifi,0.8702484034179365,0.3706729627001346,3.079980132500843,1,3,82,385,0.7
10,unbnn2,0.7642048881769934,0.2581244595003495,2.589006204286971,2,2,249,171,0.1
10,wfr3g,0.8033736832626683,0.36413978618194925,2.704104437062064,3,10,162,26,0.3
20,el2xptp0,0.8577727160251001,0.4119197642142843,2.5226712115897434,38,11,53,251,0.0
