shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
10,10,dfrn2,3972,0.8635091410264601,0.2017868651866316,2.3093218778899054,1,5,1109,386,0.8
10,10,disjr,1980,0.9282323232323233,0.31692661679873607,1.805858502000664,4,1,234,312,0.6
10,10,ecexg,4836,0.860193708476747,0.34148042473243906,2.232035667664632,3,2,2315,2634,0.6
10,10,elunsn,2058,0.9349063740448282,0.3525081740365879,2.188703589524939,1,1,68,343,0.7
10,10,exmoeu,1302,0.9169105311219181,0.29193893364990925,2.8132959337666854,9,7,165,36,0.2
10,10,f1imapss,6294,0.7955309927926275,0.3714487335165566,3.153616256681207,37,5,759,21,0.0
10,10,funoprabg,5802,0.7908539187178976,0.10640831948970823,2.672946137924627,2,1,1284,31,0.2
10,10,fveq2,3126,0.8646987743192811,0.2170490535160341,1.9462345370949252,1,4,745,269,0.9
10,10,fvtp1g,6240,0.7835007396449702,0.12658639083152118,2.6955783317517357,357,4,1524,1419,0.0
10,10,ixpf,7104,0.7289872140933163,0.3040745738613753,2.8122231420025816,21,1,421,769,0.0
10,10,nftru,444,0.7844229364499635,0.3916065343151777,3.399807409102134,8,1,34,116,0.1
10,10,oen0,9282,0.6958277447830237,0.2594278498562671,2.3910785913229855,1,4,251,45,0.6
10,10,ofmres,8832,0.7322954203095464,0.045346856521599185,2.5805373143185704,19,12,1802,1000,0.0
10,10,onxpdisj,6114,0.8393161915749918,0.19820741734370223,2.6144760106782168,1,16,212,543,0.6
10,10,opelidres,4536,0.871424372218023,0.28225987525832374,2.0023370089874617,1,4,1173,369,0.9
10,10,pm2.48,516,0.8901162790697674,-0.08089869231859301,2.829374067351556,3,7,427,71,0.4
10,10,rabxm,2682,0.888655666161184,0.26919829216973185,2.081725457554483,2,4,559,62,0.8
10,10,rex0,1764,0.9048128094775325,0.1931798112238737,2.0128977211489745,1,2,579,622,0.8
10,10,riotass2,4446,0.7281118814892521,0.3302986187293818,2.74365649227643,133,2,785,59,0.0
10,10,unab,2328,0.9043847645870975,0.27687955925426044,2.7986577205386536,1,15,132,160,0.8
20,20,dfrn2,3972,0.8832465475853634,0.26590686127213203,2.4612682740430643,7,5,975,386,0.2
20,20,disjr,1980,0.9367594123048669,0.34965561587547167,1.913077818195473,2,1,197,312,0.5
20,20,ecexg,4836,0.8784328454703866,0.3515523074810031,2.348465691801903,2,2,1507,2634,0.5
20,20,elunsn,2058,0.9520063918945337,0.46773926348034833,2.269111724414186,3,1,10,343,0.6
20,20,exmoeu,1302,0.9393743761812737,0.3955235547048713,2.1588739970572757,1,7,108,36,0.7
20,20,f1imapss,6294,0.8315169651790575,0.36538324362148766,3.102742495890249,40,5,740,21,0.0
20,20,funoprabg,5802,0.8326993473348526,0.22271645562611514,2.1023296717484565,8,1,278,31,0.2
20,20,fveq2,3126,0.899619806882527,0.2502695901573987,1.947538212123923,2,4,752,269,0.6
20,20,fvtp1g,6240,0.8075994822485207,0.16757335590798125,2.2135610619170647,28,4,1483,1419,0.0
20,20,ixpf,7104,0.7756814537299124,0.27958512023566384,2.8953978032624548,5,1,185,769,0.1
20,20,nftru,444,0.8659422936449963,0.44657381900324133,3.6653332267355436,3,1,55,116,0.4
20,20,oen0,9282,0.7115133728948956,0.1974100808444705,2.5332080496131746,4,4,49,45,0.4
20,20,ofmres,8832,0.7746234973121455,0.08946348405872041,2.7772774304149066,2,12,797,1000,0.3
20,20,onxpdisj,6114,0.8457451695508595,0.2200767023294554,2.7662083314992776,7,16,101,543,0.1
20,20,opelidres,4536,0.8961570224797738,0.3969673714118766,2.025322441570486,1,4,300,369,0.7
20,20,pm2.48,516,0.9419280692266091,0.09659262113573504,2.5501995846511516,1,7,118,71,0.6
20,20,rabxm,2682,0.9126946233653139,0.3129590607507684,2.1207954049735065,2,4,517,62,0.8
20,20,rex0,1764,0.9246471377666713,0.1736306759105354,1.9584956942786713,1,2,408,622,0.9
