shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
320,320,dfrn2,3972,0.904907540091821,0.3708050996698986,5.963956451609082,1,5,40,386,0.9
320,320,disjr,1980,0.9433213957759413,0.41454996029456004,2.7958952576641414,1,1,98,312,0.6
320,320,ecexg,4836,0.8718356125584173,0.37342877350890624,4.755713617504061,1,2,1662,2634,0.2
320,320,elunsn,2058,0.9487424457496453,0.4702242898998547,1.7258954861561615,2,1,31,343,0.7
320,320,exmoeu,1302,0.9349487141370597,0.4602180798118251,2.117830646813661,1,7,38,36,0.6
320,320,f1imapss,6294,0.842550761040748,0.4112696703391923,2.866541775226263,43,5,586,21,0.0
320,320,funoprabg,5802,0.8693696535837765,0.36203677094775516,2.135982105106916,2,1,214,31,0.8
320,320,fveq2,3126,0.907145567545065,0.3547642746550602,1.6626296309894688,2,4,1008,269,0.8
320,320,fvtp1g,6240,0.8205883875739645,0.24187587224013413,1.8802729622451786,412,4,980,1419,0.0
320,320,ixpf,7104,0.8326573485436448,0.3044517515273531,2.601525173527479,1,1,266,769,0.9
320,320,nftru,444,0.9266800584368152,0.48986558182854645,4.02339956898248,2,1,3,116,0.4
320,320,oen0,9282,0.7420054475747022,0.2736120856576669,3.678463498532603,3,4,149,45,0.3
320,320,ofmres,8832,0.7888580495333175,0.16699826178839328,4.538740153250219,9,12,197,1000,0.1
320,320,onxpdisj,6114,0.8645810079538812,0.339739867147227,3.4684529670282815,2,16,268,543,0.8
320,320,opelidres,4536,0.9093099997200527,0.5138658972605955,2.046565592079193,1,4,99,369,0.9
320,320,pm2.48,516,0.9458491076257436,0.16329656284341845,2.5399490134859537,2,7,104,71,0.7
320,320,rabxm,2682,0.9325515867653609,0.2779549658436054,2.0580317684181,1,4,72,62,0.7
320,320,rex0,1764,0.9476745800360961,0.3837114366722482,1.7383732443953273,2,2,221,622,0.7
320,320,riotass2,4446,0.8577994867788177,0.2602456402416304,3.636731084840902,1,2,368,59,0.3
320,320,unab,2328,0.9362837442873844,0.32413256736084356,1.8988779709196477,1,15,68,160,1.0
